time,mnvel,errvel,tel
2458645.065398,-77.3,7.43,hires
2458646.96613,49.9,24.2,tres
2458647.964611,34.3,22.0,tres
2458648.961007,-44.6,17.8,tres
2458649.958409,-41.2,18.9,tres
2458650.97301,164.3,16.2,tres
2458651.966405,116.1,17.5,tres
2458652.981466,-33.8,24.0,tres
2458657.953559,13.6,15.7,tres
2458658.932441,-107.5,17.0,tres
2458659.912405,84.9,19.9,tres
2458660.089282,8.42,3.31,ishell
2458665.924079,130.6,17.8,tres
2458666.92506,42.5,2.21,ishell
2458674.932143,198.8,14.2,tres
2458675.084455,71.1,4.86,ishell
2458677.882169,-99.1,20.1,tres
2458678.568125,-69.66,29.45,carmenesvis
2458679.53729,241.65,40.59,carmenesvis
2458680.53527,79.92,15.96,carmenesvis
2458684.568335,232.51,25.58,carmenesvis
2458685.884899,96.1,35.5,tres
2458686.54842,177.2,16.04,carmenesvis
2458687.57891,-17.01,20.79,carmenesvis
2458688.584365,-96.42,19.21,carmenesvis
2458689.846153,110.1,14.7,tres
2458690.557235,114.83,11.18,carmenesvis
2458691.505425,276.31,30.81,carmenesnir
2458691.505425,155.65,13.93,carmenesvis
2458693.54918,-19.49,18.84,carmenesnir
2458693.549395,-100.78,8.52,carmenesvis
2458693.842764,-74.1,24.1,tres
2458694.59554,164.36,19.65,carmenesnir
2458694.59568,135.7,6.79,carmenesvis
2458695.53909,-3.88,25.06,carmenesnir
2458695.53932,39.93,10.69,carmenesvis
2458696.52297,57.79,6.7,carmenesvis
2458696.52308,41.45,15.91,carmenesnir
2458698.51838,-112.18,13.87,carmenesnir
2458698.518795,-108.57,4.86,carmenesvis
2458699.48421,43.11,18.82,carmenesnir
2458699.484225,81.68,8.55,carmenesvis
2458700.47701,-12.46,23.43,carmenesnir
2458700.47709,10.01,6.31,carmenesvis
2458701.471955,-38.69,30.48,carmenesnir
2458701.472325,-1.34,7.9,carmenesvis
2458702.502,-163.13,16.45,carmenesvis
2458704.48929,-7.34,25.96,carmenesnir
2458704.489635,79.4,7.75,carmenesvis
2458706.498265,-60.66,24.28,carmenesnir
2458706.498955,-53.41,13.14,carmenesvis
2458711.444815,-64.13,25.69,carmenesnir
2458711.445175,-68.26,9.3,carmenesvis
2458712.45243,-208.9,30.92,carmenesnir
2458712.452575,-145.53,8.27,carmenesvis
2458714.507445,74.89,11.13,carmenesvis
2458714.507735,-1.04,29.74,carmenesnir
2458715.45429,119.79,6.96,carmenesvis
2458715.454715,104.33,19.43,carmenesnir
2458718.449865,-8.15,7.88,carmenesvis
2458718.45001,10.36,23.92,carmenesnir
2458723.46386,10.82,9.14,carmenesvis
2458723.46396,-10.17,29.09,carmenesnir
2458724.41991,-4.56,29.82,carmenesnir
2458724.42014,32.17,9.24,carmenesvis
2458727.47467,-120.64,15.58,carmenesvis
2458727.47503,-162.58,33.76,carmenesnir
2458730.740018,17.1,23.4,tres
2458731.739653,-35.0,23.9,tres
2458738.70382,145.2,32.6,tres
2458739.930751,85.7,4.12,ishell
2458742.394525,-111.51,6.47,carmenesvis
2458742.39457,-78.27,23.94,carmenesnir
2458742.696035,-86.4,40.1,tres
2458743.368875,105.08,32.28,carmenesnir
2458743.36923,109.79,10.05,carmenesvis
2458744.35226,96.0,17.59,carmenesnir
2458744.35274,44.66,6.63,carmenesvis
2458744.700854,234.4,25.3,tres
2458744.8212,59.5,5.0,spirou
2458745.394785,-8.64,10.77,carmenesvis
2458745.395085,-0.64,29.71,carmenesnir
2458745.730511,-65.9,40.3,tres
2458750.7542,-18.2,5.0,spirou
2458751.7453,-52.4,5.0,spirou
2458752.7898,27.9,5.0,spirou
2458755.39838,-10.29,41.43,carmenesnir
2458755.39907,-52.31,12.96,carmenesvis
2458757.37521,-54.66,41.67,carmenesnir
2458757.37524,-40.49,11.8,carmenesvis
2458758.65017,42.1,25.3,tres
2458758.7288,51.3,5.0,spirou
2458759.369515,121.73,27.43,carmenesnir
2458759.369535,173.63,10.1,carmenesvis
2458759.694882,114.5,28.3,tres
2458759.8053,69.2,5.0,spirou
2458760.30872,10.36,28.45,carmenesnir
2458760.30896,-50.26,9.67,carmenesvis
2458760.71097,-48.38,4.51,ishell
2458760.7278,-29.6,5.0,spirou
2458761.350815,-127.71,8.52,carmenesvis
2458761.35095,-120.87,25.35,carmenesnir
2458761.645681,-117.3,17.2,tres
2458761.729422,-96.54,3.37,ishell
2458761.7305,-87.2,5.0,spirou
2458762.677499,144.6,21.8,tres
2458762.730214,16.08,6.35,ishell
2458762.7315,-2.9,5.0,spirou
2458763.33613,26.53,27.49,carmenesnir
2458763.33635,21.39,6.78,carmenesvis
2458763.779074,-14.43,3.17,ishell
2458764.7571,34.5,5.0,spirou
2458764.766543,18.96,5.06,ishell
2458765.32879,-83.71,9.85,carmenesvis
2458765.32907,-24.44,46.17,carmenesnir
2458765.71105,-39.79,7.94,ishell
2458765.7694,-39.8,5.0,spirou
2458766.329605,-141.11,33.1,carmenesnir
2458766.32998,-150.2,7.98,carmenesvis
2458767.656488,107.5,33.1,tres
2458768.653311,83.7,30.6,tres
2458769.635106,15.1,22.5,tres
2458769.7438,22.1,5.0,spirou
2458770.623329,-112.3,18.2,tres
2458770.7407,-41.6,5.0,spirou
2458771.612582,-144.9,21.1,tres
2458771.7212,-55.8,5.0,spirou
2458772.628816,120.2,22.4,tres
2458772.7416,19.4,5.0,spirou
2458773.638865,91.1,25.1,tres
2458774.591042,-51.3,25.3,tres
2458775.598544,-135.9,24.1,tres
2458779.57371,-86.3,24.1,tres
2458780.566456,-148.0,20.2,tres
2458782.572973,29.7,19.0,tres
2458783.561459,123.9,30.0,tres
2458784.56098,-121.1,21.7,tres
2458786.591881,-45.4,22.6,tres
2458787.627174,-2.0,29.9,tres
2458787.7155,28.3,5.0,spirou
2458788.570062,211.2,22.7,tres
2458788.7045,41.3,5.0,spirou
2458789.7367,-32.6,5.0,spirou
2458790.701,-90.1,5.0,spirou
2458791.6983,2.1,5.0,spirou
2458792.6976,19.1,5.0,spirou
2458795.700288,-59.42,3.14,ishell
2458796.6859,-13.5,5.0,spirou
2458796.706964,-0.86,5.37,ishell
2458797.7098,19.7,5.0,spirou
2458798.6873,27.0,5.0,spirou
2458798.695629,32.0,4.13,ishell
2458799.6883,-10.3,5.0,spirou
2458799.69492,-22.28,9.62,ishell
2458800.6896,-46.2,5.0,spirou
2458801.6873,0.0,5.0,spirou
2459019.062251,-121.05,2.81,hires
2459025.094631,-155.66,2.48,hires
2459026.123675,399.32,3.35,hires
2459028.098307,104.1,2.86,hires
2459029.081905,14.31,2.53,hires
2459030.078281,-131.6,2.19,hires
2459031.106844,414.91,3.41,hires
2459032.105577,-138.95,2.71,hires
2459035.092001,-76.31,2.26,hires
2459036.101597,329.39,3.4,hires
2459040.11603,3.72,2.12,hires
2459041.117761,153.21,3.14,hires
2459044.942379,-0.97,2.22,hires
2459049.54617,-9.06,23.94,carmenesvis
2459050.56301,261.02,21.89,carmenesvis
2459051.54856,-21.26,27.7,carmenesvis
2459051.9219,92.94,2.44,hires
2459059.517,128.17,38.35,carmenesnir
2459059.51739,21.86,12.02,carmenesvis
2459060.56385,56.21,15.25,carmenesvis
2459060.56397,0.64,45.11,carmenesnir
2459061.51767,3.43,9.96,carmenesvis
2459061.51774,-1.64,26.11,carmenesnir
2459067.51635,-61.79,14.71,carmenesvis
2459067.51658,-22.7,35.8,carmenesnir
2459067.855784,-21.57,3.09,hires
2459068.895396,-30.19,2.4,hires
2459069.985765,67.29,11.02,ishell
2459070.49213,-161.95,47.51,carmenesnir
2459070.49224,-120.99,17.32,carmenesvis
2459071.907618,43.81,3.37,hires
2459071.979622,24.53,3.5,ishell
2459072.852897,-8.9,2.74,hires
2459076.47969,53.98,28.45,carmenesnir
2459076.47973,74.87,9.62,carmenesvis
2459077.821906,-44.12,2.71,hires
2459078.48285,-66.09,12.86,carmenesvis
2459078.48314,-53.38,47.45,carmenesnir
2459078.813958,-31.15,2.45,hires
2459079.51194,84.71,32.93,carmenesnir
2459079.51202,159.74,17.82,carmenesvis
2459081.44324,-7.63,44.14,carmenesnir
2459081.4433,18.72,16.94,carmenesvis
2459085.4860900003,-66.12,30.86,carmenesnir
2459085.48611,-103.96,11.19,carmenesvis
2459086.47053,0.0,11.41,carmenesvis
2459086.4707,-5.4,35.27,carmenesnir
2459086.849156,-147.83,3.51,hires
2459086.915335,-5.96,4.43,ishell
2459087.44817,-22.76,10.14,carmenesvis
2459087.44822,43.18,42.15,carmenesnir
2459087.868995,0.97,2.58,hires
2459087.917716,68.09,13.17,ishell
2459088.849805,139.3,2.57,hires
2459088.900423,39.07,5.6,ishell
2459089.824376,-38.53,3.28,hires
2459089.900047,20.73,7.19,ishell
2459090.897927,50.16,4.41,ishell
2459094.815792,-127.27,2.67,hires
2459095.46266,13.58,28.27,carmenesnir
2459095.46273,-17.99,15.28,carmenesvis
2459097.855698,-16.26,2.6,hires
2459098.44771,36.94,14.87,carmenesvis
2459098.44795,15.8,34.37,carmenesnir
2459099.41347,0.86,35.8,carmenesnir
2459099.41364,1.26,13.44,carmenesvis
2459099.761856,-139.97,3.05,hires
2459101.904682,-82.58,2.51,hires
2459113.41579,77.58,40.76,carmenesvis
2459114.829534,-6.09,2.08,hires
2459115.810803,-7.73,5.78,ishell
2459115.91498,-92.15,2.61,hires
2459117.805977,-23.08,3.53,ishell
2459117.857924,48.2,2.29,hires
2459118.807183,-12.72,4.15,ishell
2459119.813063,3.98,5.34,ishell
2459120.804824,-28.18,4.32,ishell
2459121.710044,11.92,2.38,hires
2459122.709275,58.74,2.34,hires
2459122.88224,3.77,4.62,ishell
2459123.703587,20.0,2.6,hires
2459123.807924,-16.94,5.09,ishell
2459143.789273,-35.3,5.73,ishell
2459145.789894,0.86,9.38,ishell
2459147.782831,-7.73,4.04,ishell
2459148.30047,-76.46,68.62,carmenesnir
2459148.3007,-199.06,41.82,carmenesvis
2459151.692854,40.18,2.41,hires
2459153.753326,95.26,2.73,hires
2459154.2969,25.34,66.01,carmenesnir
2459154.29727,80.14,23.03,carmenesvis
2459161.27302,-70.52,61.17,carmenesnir
2459161.27325,-25.96,17.31,carmenesvis
2459170.25874,-52.59,15.02,carmenesvis
2459170.25901,-35.74,60.54,carmenesnir
2459181.680326,42.79,2.6,hires
2459187.682871,54.26,2.47,hires
2459188.689611,-6.89,2.6,hires
2459189.684349,-81.15,2.86,hires
